181995|42815|328693|23998|453395|42476|94554|13714|33954|30721|15253|11693|16921|16682|12466|13544|15807|21842|12010|179209|11696|13003|74965|122532|108295|16119|45542|10537|22018|56017|118523|13538|20574|11365|128120|5040|3759|3909|32493|32931|26639|112991|85419|25509|22128|49243|3808|17324|111472|11054|118966|16643|109064|20997|33179|28526|22031|14884|113238|104699|135942|98548|3722|27556|27062|59591|123743|17833|108506|11660|98839|39254|126756|54145|11070|11435|12183|43818|10597|115071|72946|13780|55787|33291|13228|17186|32074|57716|11812|13226|26452|16279|143362|17161|11886|51379|22108|44130|11058|11816|
50301|11914|68640|34675|124863|21351|40905|12028|27648|28332|12757|10551|22279|15954|11279|12553|13612|16696|9446|120528|9887|9480|64648|95559|90489|13519|40722|10030|16952|47907|99339|15711|20618|13948|91746|3758|3482|3519|15465|26786|21616|94333|66138|41931|17543|15050|3837|13763|46969|9792|103231|14447|109066|17654|14064|24637|18898|11580|97251|90519|89116|89059|3539|8260|8471|40092|92850|17828|87929|10010|88448|35042|93040|46608|18156|8302|6574|41979|7191|88300|62546|9292|41442|23171|7796|6834|25717|34684|6908|6864|20002|11973|94364|13399|7567|35944|17335|49955|7141|6646|
16871|10247|413511|17244|175725|22350|41204|12169|33961|35762|11139|7961|16852|16745|9070|11483|15202|22176|8089|349248|67847|9350|56119|81850|69588|8283|34403|4860|12875|40340|71554|5020|18282|4597|71970|2536|2387|2473|10128|19519|14898|70453|55465|14736|10918|10515|2472|8509|36806|4726|77715|8838|67454|10485|28705|29054|14045|7925|71505|69036|70962|74928|2561|4592|4438|31240|71077|9693|67660|4722|67408|26054|72464|37679|4505|5296|4137|31008|13688|68649|50430|6371|34164|17588|5173|3930|13493|25670|4351|4085|13444|8566|73347|8964|4887|40210|13049|27158|4498|4178|
11917|5141|47119|7643|73870|10257|22877|5160|18347|15710|5445|4107|8004|24342|5471|5260|6930|9801|4618|73724|5529|4309|41839|71044|70215|7731|28863|4160|10090|31373|68986|4460|9792|4034|97317|2430|2607|2252|29743|18126|13711|72854|46229|15726|17875|8914|2735|7346|33129|3819|73593|8612|67283|9497|7770|14695|11833|6620|83750|66790|69533|66995|2559|3911|3673|27789|68830|8254|65727|4183|78555|26135|70743|38597|3528|4277|3316|27413|4287|65757|47770|5582|29927|16202|4812|3446|13294|24778|4697|4013|13117|7789|70599|8762|4266|26018|31846|26533|4461|4127|
11638|4208|44565|9881|69860|10496|23387|4842|39404|14659|4951|3147|7363|7123|4010|4669|6261|9107|3938|75235|4127|7451|41068|69996|68749|6703|26161|11453|9668|29054|64463|3533|23663|3015|64748|1726|1548|1724|8548|16072|12642|68321|44454|13910|9324|7853|1781|6854|31342|3895|70152|14689|67652|9067|6780|14500|11292|5702|67432|66986|66638|63154|2165|3183|2914|26159|67970|7451|64696|3461|64844|23531|67836|32750|3071|3906|3015|27726|14399|65762|47296|4588|28731|15833|3540|2864|12281|23441|2899|3027|12246|7122|67786|7227|3650|23969|11809|24617|2641|3247|
10825|3149|41576|6493|68349|9063|19873|3811|17009|13317|4625|3109|7144|6986|3277|4743|5049|8359|3835|68255|4041|3384|38334|67334|65886|6754|25769|2970|8765|27775|101885|3170|8908|3212|66454|1714|1590|1727|7913|14602|12303|66542|40354|12717|8502|7869|1803|19370|28243|3060|63876|6474|62298|9435|6964|12993|10384|5296|65107|62701|98554|61553|1698|3094|2735|25347|65765|6604|61917|2990|65213|19286|65205|27233|2841|3678|3014|25306|2990|63137|43561|4517|26432|13529|3372|2837|11551|22597|2656|2794|11566|6664|64677|6915|3635|22918|9515|23670|2679|2831|
9070|2831|35876|17945|62859|9009|18545|3678|17338|12191|3760|2722|6133|6324|3208|4044|4902|7478|3806|106559|3320|3087|34225|65426|63690|5975|22194|2692|8492|24277|63438|2979|7759|2514|78843|1780|1445|1508|6524|12814|11973|64707|33308|11642|15997|7268|1325|5903|24834|2802|63090|6089|61951|8185|6181|12743|9527|5747|68949|63286|63085|62134|1813|16148|2769|24290|80225|6731|62223|3027|61362|23814|80836|67259|2887|4253|3046|27627|3056|65184|43896|4666|28026|15185|3766|2720|11521|22746|2795|2785|11674|6485|66476|6780|3773|23468|10351|23540|2673|2820|
10485|3367|41102|5566|64284|8467|18762|3730|16105|13235|4207|2767|6242|6520|3097|4010|4988|7618|3764|79396|3197|3061|36391|93970|65416|6376|25131|2780|8042|25583|68427|2870|7924|3091|64123|1726|1485|1584|6836|13624|11582|67117|46593|12152|8064|7237|1670|6392|26178|2939|92237|6963|62503|8189|6348|27801|30576|13337|72093|63072|63068|61538|1674|2968|2802|23977|65413|6365|62225|2926|61726|19719|64258|25856|3028|3420|2688|51089|3010|62637|38920|4316|24939|12939|3399|2691|11320|22165|2723|2935|11852|6373|66048|6248|3288|23052|9522|21497|2579|2609|
8789|3055|35138|5613|63439|8169|19059|3437|41764|12367|3908|2833|6367|6623|3168|4154|5080|7595|3699|66273|3038|3026|36542|64081|64291|6193|23407|2804|7750|25081|63134|3120|7948|2617|63821|1643|1426|1432|6281|23255|11520|64089|35386|11613|7672|7166|1382|6172|25708|2860|63196|6330|62070|8361|6198|12496|9398|5194|64058|92710|63212|61085|1717|2903|2702|21920|66481|5964|62323|3194|61825|19261|64450|25507|3035|3590|3244|45775|3018|62936|37505|4203|24739|13045|3366|2668|11353|22336|2701|2689|11593|5794|64563|5937|6867|23540|9799|20260|2487|2693|
8640|3139|34164|5145|62667|7997|18450|3352|16340|12312|3958|2704|6040|6027|3090|4171|4722|7822|3389|65196|3408|3026|33730|65218|63424|5919|21956|2804|7853|24310|64339|2873|7920|2677|63541|1639|1385|1468|6491|12997|11726|64519|34678|11879|7962|7473|1494|5874|40800|2771|62916|6192|62604|8129|6431|12624|10525|5492|64210|66323|63877|91617|2231|3211|2887|22829|65110|6381|61375|6594|91990|20139|93702|28189|2782|3678|2597|24422|3058|62542|40396|4618|26240|13782|3639|2687|11335|22054|2861|2770|11577|6627|66670|8070|11286|23180|10589|22913|2617|2952|
