119050|10901|9393|22056|8670|67096|15221|12293|13294|10142|9592|14242|10618|13340|11856|11738|10350|13026|10193|8797|12766|11153|12153|8311|9455|10472|11087|10408|8459|11401|12048|9379|9829|8066|9274|12718|18203|9390|9516|11771|11060|9353|8084|40333|10542|13271|9689|10366|8301|11653|8312|7892|2879|8958|9030|11401|16188|10069|10681|10428|7728|9787|11144|8132|11244|7984|10280|12338|8812|11211|2827|8034|13709|9611|7540|12515|11614|11164|7387|8907|10591|7674|9554|7283|7612|9234|7407|7106|7501|9552|9001|16035|7370|10174|7890|7205|9046|23648|10534|10303|22313|7213|3007|7887|34411|8719|8259|3433|20819|3200|21423|11109|8418|3295|9439|8761|18449|4066|8879|7913|7622|8863|8152|3181|9904|13141|3111|3508|9894|21416|11883|11369|3198|15863|2988|3649|2989|2972|2929|1605|3035|3000|7811|10398|2867|2908|2941|3036|3028|10164|3049|2675|7866|2787|2939|2967|2729|3007|8560|7998|2857|2660|2727|15422|2796|7828|7699|12260|7341|8024|3024|8002|2771|8100|3117|3053|2795|7487|2862|7470|2873|9642|2987|2943|6898|8942|11659|2923|2658|2534|7314|2533|2663|2716|3043|2509|2448|2412|9205|130211|32532|34956|35176|35500|31727|32386|49116|25203|33277|28264|32457|26137|30964|40997|34339|43123|34225|59135|29442|25882|40229|31163|28439|28671|37117|27598|24191|29986|26562|24513|24233|27065|24448|26361|22500|24567|24718|25516|24641|23988|20463|25474|25284|23882|24815|24359|22935|20649|27214|16587|27935|22338|33462|32229|22248|17925|20454|19525|18542|19684|25894|16389|17760|14878|16394|16806|11664|14923|14027|11866|12888|13756|13076|10568|14012|11455|10677|12633|11726|14724|15627|14599|19002|12873|24698|11699|14148|15122|15576|10134|13616|13645|10826|13917|12820|20062|12841|10848|11812|12148|
13265|6255|5704|7031|5412|8121|6277|6632|6335|5447|5787|11599|6488|7509|6134|5984|6653|6935|6338|5770|6370|7382|7338|5182|5631|10335|6645|5747|5769|6924|6276|5405|6405|6467|5679|6715|5554|5903|5593|6045|6086|5863|5296|6330|5606|5773|5580|5814|5415|6249|4990|5005|3496|9194|6152|6241|7387|5943|5479|5560|5102|5899|6632|5046|5281|4966|5719|5839|5267|5926|2065|5484|6064|5607|4764|6625|5382|5520|4207|5182|5232|4540|4817|4648|4544|16838|6071|5070|5057|5179|5774|6079|4502|5392|4474|5545|5218|4845|5449|5051|11158|4836|2288|5369|1018|4745|4996|2051|9324|2127|4651|1875|4775|2013|4850|4436|12022|4736|5053|4658|4329|4490|5483|2334|5019|5099|1908|1942|4448|8841|5528|4587|2298|7117|2152|2065|1845|1816|1710|851|1892|1685|4810|4411|1779|1908|1894|1692|1779|7048|1685|1643|4598|1865|1782|3956|1573|1718|4599|4529|1881|1671|1826|4823|1907|4483|4366|5692|4231|4314|1964|4298|1706|4546|2044|1706|1818|4411|1775|4159|1722|4814|2027|1991|4476|7766|5690|2165|1896|1774|4651|1875|1759|1763|1794|1908|8202|1768|5194|4301|14983|13708|12926|13832|11572|10555|14052|8602|10792|9154|11295|9537|20985|12001|11181|13163|11283|9357|8928|7623|12112|9665|8543|12374|14360|11225|9237|13906|11462|10324|9877|10508|9974|9870|8762|10868|8915|10227|9851|9349|8438|10277|9877|9540|9657|8994|9047|8309|33104|6904|18352|10642|9893|11803|11264|8325|10114|9231|8928|14563|12016|8729|14427|9646|10853|8111|9185|11794|10430|9259|10169|12493|10945|7579|12055|8246|7998|9116|9347|8316|9644|9325|9092|9130|13110|7854|10557|8471|12223|7203|11173|9518|8418|12060|9738|9001|10084|7808|8811|8946|
3964|3418|3299|4282|3106|4758|3549|4387|4449|3206|3636|5046|3690|5378|4482|3788|4082|4468|4372|3226|4020|3984|4747|8293|3614|3684|3822|3601|3501|8407|8139|3097|3949|3852|3395|4513|3443|50768|3442|3196|10233|2655|2293|2965|2453|2632|2443|2785|2220|2966|2561|2406|1286|2747|3219|2966|3875|2829|2475|2325|2416|3090|2839|2247|2302|2457|2806|3057|2368|2730|1258|2591|3378|3061|2400|4159|2923|2432|2195|2322|2794|2267|2552|2133|2066|2264|2424|2843|2928|3359|9583|5591|2358|3017|2346|2499|2652|2683|2690|2627|10243|2780|1401|2943|1059|2872|2778|1611|6208|1455|2543|1340|2701|1426|2652|2219|2609|1168|2479|2465|2584|2375|2560|1392|2376|3405|1376|1349|2540|4876|3651|2759|1274|5308|1323|1435|1420|1394|1430|770|1172|1084|2735|2318|1224|1209|1231|1222|1305|3019|1208|1081|2537|1245|1364|1195|1059|1242|2426|2334|1186|1083|1341|2913|2050|2924|2542|4377|2828|2520|1329|2429|1240|2754|1460|1299|1302|3038|1472|2269|1207|2944|1386|1454|2398|2962|3053|3036|4594|1337|2757|1168|1307|1210|1338|1276|1184|1213|2813|2352|11744|9881|9901|10171|8321|6585|10354|6929|7702|6646|7873|5527|6400|8057|7934|8422|8286|6404|6331|5101|7596|27381|6546|6537|8492|6931|5813|7997|7511|6402|6362|6887|6184|6323|5913|6739|5600|6221|6971|7345|5084|5858|5518|5943|5962|5883|5905|4860|6842|4287|6725|5217|6580|8438|7309|4920|5967|5772|5665|5905|7867|5479|7218|6253|6828|4906|6186|7522|6498|6131|7194|7693|6487|5008|8067|5773|4746|5681|5901|5491|6238|5814|5993|5914|6333|4897|6405|5639|7603|5179|7149|5984|5582|7597|5507|5744|5448|4849|5418|5947|
2887|2266|2020|2854|2285|2953|2360|2992|3153|2314|2418|3080|2558|3289|2560|2898|2574|2703|2598|2248|2525|2620|3218|2092|2265|2795|2462|2413|2184|2873|2626|2077|2520|2210|2177|67580|2558|2178|2515|2563|2444|2093|2034|2448|2110|2367|2021|2333|1922|2725|2419|2143|1027|2524|5157|4220|3552|2751|2209|2168|2243|2870|2395|1913|1950|2004|2316|2668|2244|2558|942|2166|2734|2732|2233|4225|2707|2219|3698|2297|2554|2000|2445|1855|1884|1952|2205|1927|2109|2224|3052|2540|2156|2430|2002|2295|2284|2158|2671|2386|14559|2628|1153|2396|1020|3086|2748|1213|5639|1171|2277|1096|2257|4014|10611|2633|2350|906|2169|3043|2441|2505|2526|1150|2173|2714|1042|1252|2107|4591|3451|2434|1073|4630|1105|1136|1029|959|1292|656|997|912|2568|2078|1102|891|1017|936|1115|2898|935|1003|2474|1064|1072|936|803|1238|2030|2168|1003|822|978|2180|915|1889|1854|2839|1920|1933|989|1941|930|2268|1150|867|990|2237|1067|2057|1004|2254|1114|1109|1881|2716|3026|1136|1074|940|2075|894|913|4922|1891|1356|976|874|2153|2287|10138|10058|8541|9925|8495|9978|9537|5010|7276|5532|7369|5709|7390|10167|7587|8048|7663|6092|5776|6019|7505|5798|5666|6381|8561|6300|5473|7655|7119|6098|6099|6423|6066|6123|5350|6094|5353|5841|5602|5902|4760|6135|5594|5976|5871|5455|5350|4864|6610|5176|6724|5413|6171|7673|6869|4873|6203|5792|5331|5617|11711|5401|7488|5986|6635|5250|5604|7550|6707|5589|6819|7653|6561|4808|7320|5386|4699|6040|5834|5460|6270|5850|5583|5851|7163|5116|6256|5778|7586|4589|7227|5812|4964|7183|5965|5751|5109|18887|5265|8126|
3853|2306|2144|3358|1962|3391|2313|3015|3280|1995|2320|2531|2340|3614|2482|2381|2706|2405|2611|2160|3029|2727|3915|2004|2457|2745|2684|2480|2124|3054|2688|2110|2397|2177|3330|9250|1788|1581|2072|2081|1894|1637|1346|13490|1837|1798|1368|2295|1502|2230|1523|1180|812|1513|1940|2529|3242|2098|1516|1438|1343|2154|1675|1330|1268|4236|5807|2708|1364|1623|825|1743|1854|2079|1343|2994|1872|1589|1206|1405|1511|1339|1597|1181|1084|1271|1345|1153|1504|1452|2089|2045|1367|2599|1172|1584|1735|1478|1620|1625|6189|1582|958|1716|590|1515|1580|1127|5141|988|1283|942|1603|969|2579|1188|1845|832|1669|12289|1500|1480|1277|949|1231|1941|992|1039|1368|3371|2724|1662|1054|4014|1073|1094|1027|1000|961|508|823|773|1551|1475|826|783|965|936|1463|6006|770|760|1593|851|1017|982|772|889|1397|1456|927|768|822|1564|795|1233|1274|2005|1206|1230|905|1287|769|1598|891|786|918|1178|809|1207|780|1793|966|907|1344|2031|1983|904|818|817|1211|778|820|874|977|764|889|800|1596|1481|8317|9231|7885|8153|6805|5210|8218|4326|6718|4767|6894|4599|5172|6451|6458|7581|6128|5867|4920|4613|6475|5037|4936|5535|8152|5552|4884|6835|14696|4893|5626|6795|5064|5484|4644|5571|4791|5082|5109|5037|4077|4802|4772|5363|5075|5277|4723|3980|5794|3462|6075|4323|5248|6463|6159|4048|5157|5052|4465|4904|6732|4690|6441|5348|5638|3871|5142|6555|6178|4761|19606|7307|5429|3637|6370|4398|3943|4861|4927|4292|5052|5001|4865|4831|6732|4250|7109|5211|6618|3889|7132|5574|4380|6738|5036|4958|4539|3988|4541|5041|
2086|1423|1303|2164|1325|2283|1580|2431|2233|1243|1695|1864|1612|2539|1838|1575|1770|1735|1653|1270|1828|1680|2296|1207|1439|1599|1613|1611|1389|1873|1776|1388|1631|1303|1321|1701|1339|1302|1462|1375|1435|1298|1120|1485|1244|1665|1277|1449|1079|1582|1201|1062|705|1410|1616|1537|2480|1869|1311|1301|1304|1746|2229|1823|1204|1593|1425|1750|1208|1612|709|1300|1678|1712|1208|2963|1903|1335|1135|16650|1645|1138|1331|1238|1108|1238|1251|1150|1118|1535|2398|1732|1229|1494|1170|1514|1440|1374|1472|1569|5047|1578|1009|1519|627|1527|1603|994|3613|979|1268|918|1556|1106|1460|1115|1400|762|1367|1428|1394|1371|1314|864|1179|1708|924|1185|1363|2848|2522|1700|918|16406|976|1019|970|1364|2793|485|854|752|1538|1439|845|745|817|875|798|1601|781|752|1513|814|948|952|751|917|1351|1351|855|821|802|1656|753|1153|1130|1920|1126|1131|1041|1385|819|1577|966|819|878|1335|864|1111|756|1563|925|989|1230|1712|1798|912|782|754|1298|850|783|782|879|824|844|783|1389|1375|6501|5678|5429|7051|5556|4936|7247|3841|5309|4535|5635|4047|4990|5907|5684|6309|6013|5130|4501|3727|5770|4719|5421|8227|9687|5211|4618|6594|7276|5853|5602|6094|5483|5191|4607|5592|4591|5545|4628|4781|4279|4960|5082|5607|4689|4859|4601|4069|5665|3404|5762|4168|5039|6562|5402|4068|4793|4631|4211|4688|6785|4409|5908|4855|5459|3811|4571|6317|5330|4520|5698|6384|5184|3754|6351|4780|3924|4748|4920|4252|5384|4760|4557|4772|5277|3770|5286|4429|5872|3552|6074|4905|3877|6075|4432|4484|4146|3732|4444|4741|
1866|1384|1141|2132|1245|2135|1401|2021|2042|1260|1526|1979|1636|2357|1824|1540|1554|1957|2443|1592|1728|1765|2608|1271|1573|1555|1858|1448|1254|2024|1803|1240|1546|1383|1252|1742|1231|1332|1455|1725|1435|1478|1117|1630|1278|1418|1215|1688|1080|1477|1225|1079|726|1329|1575|1612|2288|1885|1348|1315|3295|4385|1675|1386|1251|1152|1396|1741|1235|1624|844|1429|1662|2438|1193|2443|1728|1347|1111|1316|1454|1067|1317|1091|1044|1388|1176|1149|1279|1344|1776|1573|1154|1534|1187|1321|1425|1257|1456|1517|4479|1533|888|1475|618|1379|1712|914|4249|964|1220|895|1525|884|1429|1134|1353|727|1268|1383|1282|1386|1323|895|1183|1784|996|966|1396|3166|2568|1684|1050|3331|982|988|889|883|860|479|837|765|1510|1314|931|758|1000|989|890|1810|817|776|1398|888|891|993|747|887|1291|1384|905|743|1304|4642|949|1504|1265|2025|1158|2211|1500|1507|792|1723|1076|814|870|1475|907|1159|943|1697|969|964|1738|1847|2625|941|979|776|1254|1928|922|808|809|849|1177|903|1710|14669|9115|7455|7433|10174|7584|4923|7714|4127|5720|4543|6027|4249|4868|6310|6231|7216|5998|4996|4839|3726|6229|4931|4490|5573|7415|5381|4611|6497|5755|4776|4698|5430|5098|5157|4454|4969|5087|4831|4720|4732|4064|4695|4589|4722|4713|4604|4507|3825|5477|3209|5484|4129|4936|6117|5397|4440|5323|4479|4273|4941|6440|4224|5879|4969|5314|3719|4492|6145|5409|4508|5405|6294|5667|3398|6119|4249|3668|5351|5067|4248|5026|4701|4507|4723|5245|3653|5152|4453|5884|3505|5852|4920|3914|5861|4761|4520|4091|3822|4274|4610|
1870|1333|1173|1960|1198|2147|1572|2133|2490|15229|2113|2839|2302|3901|2335|1853|2668|2233|1638|1363|1910|1936|2570|1877|1710|1714|2059|1783|1325|2540|2527|1256|1817|1547|1317|2201|1752|1569|1616|1872|1847|1394|1179|1870|1353|1550|1327|1765|1168|1747|1513|1112|762|1452|1761|1902|3861|2187|1592|1597|1428|2125|1692|1163|1229|2024|4844|4166|1627|1812|967|1341|1834|1902|1475|3371|1851|1373|1236|1434|1567|1857|1365|1259|1141|1701|1398|1303|1588|1604|2205|2326|1595|1914|1265|1643|1634|1664|1623|1861|6180|1548|13684|1524|533|1481|1479|1005|4351|2046|1602|947|1950|1192|1715|1279|1588|735|1573|1503|1469|1418|1403|1038|1341|1887|917|984|1379|4379|2444|1609|897|3647|984|1267|1017|837|823|490|840|713|1450|1182|838|741|818|898|824|1931|755|766|1436|1129|2098|1270|712|1181|1382|1571|1140|706|960|1563|906|1158|1151|1772|1097|1121|862|1117|808|1547|940|784|925|1243|841|1180|754|1533|947|977|1171|1880|2008|933|739|754|1106|741|864|849|919|738|866|774|1333|1374|8312|7050|7004|22749|7534|5076|12986|4313|6085|5009|6217|4259|4982|6326|5775|6505|5815|4955|4591|3744|6204|4889|4618|5251|6862|5324|4592|6566|5577|4676|4688|5406|6722|5223|4503|7728|4496|5134|4638|4865|3951|4506|4686|4815|4750|4574|4359|3718|5576|3158|5504|4083|5029|6113|5129|3796|4708|4460|4216|4543|6381|4153|6113|5174|5524|3802|4553|7087|5479|4581|5550|6437|5250|3664|6365|4411|3812|4706|4915|4260|5128|5184|4632|4765|5270|3717|5340|4570|5818|3530|5698|4835|3796|5937|4277|4581|4149|3697|4267|4575|
1868|1378|1138|1961|1178|2226|1580|8896|8059|1236|1708|1782|1623|2601|1761|1648|1925|1779|1883|1547|1742|1728|2508|1175|1352|1431|1631|1459|1224|1915|1646|1225|1655|1372|1320|1725|1434|1276|1344|1492|1592|1456|1111|1533|1238|1516|1193|2118|110384|2279|1727|1340|735|1486|2210|2075|2780|1656|1598|1396|1327|1959|1610|1252|1395|1211|1622|1873|1469|1612|763|1412|1602|1885|1471|3259|1916|1419|1258|1801|1496|1396|1327|1058|1011|1267|1300|1130|1364|1475|2043|1901|3569|3753|1363|3864|1447|1454|1514|1799|8344|1474|1157|1553|515|1449|1397|943|3898|928|1164|878|1535|940|1376|1094|1671|747|1213|1418|1294|1565|1219|892|1094|1623|919|1055|1268|2806|2345|1590|812|3760|925|990|1077|837|808|517|854|731|1388|1169|812|769|769|841|735|2818|769|743|1318|1072|818|855|724|841|1195|1483|845|702|792|1429|749|1112|1121|1672|1141|1166|912|1138|719|1519|851|751|891|1228|827|1334|804|1466|889|926|1283|1682|1620|923|752|759|1162|820|731|785|850|772|845|749|1334|1238|6476|11259|13120|13244|5519|4929|7271|4053|5275|4313|5551|4389|4901|5981|5561|6045|5996|4993|4492|3681|5635|4861|4356|5077|6524|5194|4715|6300|6262|4580|4712|5454|4692|5198|4187|4986|4613|4749|5071|4870|3818|4397|4626|4730|4842|4759|4918|3994|5607|3402|5426|4204|5310|6278|5477|3861|4955|4591|4280|4705|6460|4658|5975|4887|5312|3808|4524|6124|5340|4915|8800|7207|5264|3603|6455|4276|3752|4597|4693|4807|5083|4673|4549|4671|5383|3687|5198|4611|6211|4261|6290|5388|4099|6609|4837|5112|4438|3814|4496|5098|
1995|1242|1238|2133|1393|2386|1536|2274|2376|1263|1639|2083|1682|2567|1716|1757|1557|1730|1557|1296|1735|1884|2499|1211|1423|1525|1822|1616|1556|2609|2129|1416|2370|1891|1519|2715|1557|1832|1643|1780|1677|3512|1888|2866|1350|1609|1327|1733|1324|2035|1329|1173|774|1381|1522|1606|2578|1713|1364|1344|1276|2012|1615|1271|1235|1223|1380|1832|1206|1543|857|1261|1813|2152|1142|2878|1724|1411|1116|1288|1420|1127|1295|1086|1008|1370|1154|1166|1252|1456|1869|1713|1452|1626|1143|1453|1454|1545|1593|1652|5283|1497|901|1443|528|1396|1520|888|3766|918|1121|881|1474|961|1505|16543|1900|898|1377|1315|1362|1672|1454|1000|1187|1622|907|1037|1319|3359|2369|1547|917|3419|927|1009|943|824|1386|461|747|703|2283|1227|766|702|786|827|930|1754|718|697|1306|781|875|926|722|879|1255|1356|829|714|796|1438|745|1111|1200|2178|1101|1092|857|1095|807|1406|870|729|806|1193|776|1059|805|1487|933|1123|1114|1734|1648|856|782|695|1137|710|727|757|772|864|874|747|1488|1300|7086|6153|6175|10599|5920|5015|7452|3835|5445|4427|6250|4106|4920|5965|5670|6353|5600|4915|4556|3690|6098|4818|4447|5002|6478|5279|4555|6277|5508|4652|4848|5659|7189|6129|4945|5684|4625|5235|4848|4951|4322|4932|6390|4979|4884|4740|4636|3933|5804|3260|5601|4226|5089|6415|5365|4001|4792|4498|4219|4549|6517|4141|6096|4889|5378|3752|4730|6156|5446|4707|5958|6194|5182|3556|6123|4277|3648|4494|4714|4160|5000|4795|4523|4641|5292|3726|5280|4466|5904|3569|5979|5701|3852|6014|4393|4510|4043|3666|4273|5922|
